TransactionID,Date,Category,Subcategory,Type,Amount,Budget,Description,
TXN0314,10/13/2024,Dining Out,Takeaway,variable,-36.59,-33.33,Coffee Shop purchase,
TXN0308,10/15/2024,Groceries,Online Grocery,variable,-71.9,-53.33,Online Grocery purchase,
TXN0307,10/16/2024,Groceries,Supermarket,variable,-85.64,-53.33,Supermarket purchase,
TXN0325,10/17/2024,Shopping,Electronics,variable,-70.18,-66.67,Clothes purchase,
TXN0296,10/19/2024,Income,Freelance,income,334.21,0,Freelance project payment,
TXN0305,10/19/2024,Groceries,Supermarket,variable,-74.09,-53.33,Supermarket purchase,
TXN0319,10/20/2024,Dining Out,Restaurant,variable,-46.48,-33.33,Takeaway purchase,
TXN0321,10/21/2024,Entertainment,Concert,variable,-32.62,-33.33,Gaming purchase,
TXN0309,10/22/2024,Transport,Train,variable,-15.42,-30,Uber purchase,
TXN0310,10/22/2024,Transport,Fuel,variable,-39.6,-30,Train purchase,
TXN0312,10/23/2024,Transport,Uber,variable,-26.25,-30,Bus Pass purchase,
TXN0315,10/23/2024,Dining Out,Takeaway,variable,-24.69,-33.33,Coffee Shop purchase,
TXN0327,10/24/2024,Shopping,Clothes,variable,-107.04,-66.67,Electronics purchase,
TXN0301,10/25/2024,Utilities,Electricity,variable,-183.37,-60,Gas purchase,
TXN0318,10/27/2024,Dining Out,Coffee Shop,variable,-50.88,-33.33,Restaurant purchase,
TXN0295,10/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0329,11/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0330,11/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0350,11/1/2024,Dining Out,Coffee Shop,variable,-14.17,-33.33,Restaurant purchase,
TXN0359,11/1/2024,Shopping,Clothes,variable,-37.42,-66.67,Clothes purchase,
TXN0346,11/4/2024,Dining Out,Coffee Shop,variable,-54.18,-33.33,Takeaway purchase,
TXN0331,11/5/2024,Investments,Stocks ISA,fixed,-300,-300,Monthly investment contribution,
TXN0332,11/5/2024,Utilities,Water,variable,-195.42,-60,Gas purchase,
TXN0340,11/5/2024,Groceries,Supermarket,variable,-42.27,-53.33,Online Grocery purchase,
TXN0351,11/5/2024,Dining Out,Restaurant,variable,-45.84,-33.33,Restaurant purchase,
TXN0348,11/7/2024,Dining Out,Coffee Shop,variable,-53.63,-33.33,Restaurant purchase,
TXN0344,11/9/2024,Transport,Uber,variable,-16.47,-30,Bus Pass purchase,
TXN0356,11/9/2024,Health,Gym,variable,-50.93,-40,Doctor Visit purchase,
TXN0342,11/13/2024,Transport,Train,variable,-35.41,-30,Bus Pass purchase,
TXN0343,11/14/2024,Transport,Train,variable,-44.47,-30,Train purchase,
TXN0335,11/15/2024,Groceries,Online Grocery,variable,-58.43,-53.33,Online Grocery purchase,
TXN0345,11/15/2024,Transport,Bus Pass,variable,-35.01,-30,Uber purchase,
TXN0341,11/16/2024,Transport,Bus Pass,variable,-20.23,-30,Bus Pass purchase,
TXN0338,11/20/2024,Groceries,Supermarket,variable,-51.07,-53.33,Online Grocery purchase,
TXN0347,11/21/2024,Dining Out,Coffee Shop,variable,-27.42,-33.33,Coffee Shop purchase,
TXN0337,11/22/2024,Groceries,Supermarket,variable,-51.69,-53.33,Online Grocery purchase,
TXN0349,11/22/2024,Dining Out,Takeaway,variable,-21.12,-33.33,Takeaway purchase,
TXN0339,11/23/2024,Groceries,Online Grocery,variable,-55.11,-53.33,Supermarket purchase,
TXN0334,11/26/2024,Utilities,Internet,variable,-159.46,-60,Electricity purchase,
TXN0354,11/26/2024,Entertainment,Netflix,variable,-41.52,-33.33,Concert purchase,
TXN0358,11/26/2024,Shopping,Amazon,variable,-98.84,-66.67,Electronics purchase,
TXN0336,11/27/2024,Groceries,Online Grocery,variable,-71.93,-53.33,Supermarket purchase,
TXN0352,11/27/2024,Entertainment,Cinema,variable,-36.78,-33.33,Cinema purchase,
TXN0353,11/27/2024,Entertainment,Concert,variable,-40.44,-33.33,Cinema purchase,
TXN0328,11/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0333,11/28/2024,Utilities,Internet,variable,-200.46,-60,Electricity purchase,
TXN0355,11/28/2024,Health,Gym,variable,-59.28,-40,Doctor Visit purchase,
TXN0357,11/28/2024,Shopping,Clothes,variable,-22.58,-66.67,Electronics purchase,
TXN0362,12/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0363,12/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0370,12/3/2024,Groceries,Supermarket,variable,-56.11,-53.33,Supermarket purchase,
TXN0378,12/3/2024,Transport,Fuel,variable,-19.11,-30,Fuel purchase,
TXN0373,12/4/2024,Groceries,Supermarket,variable,-79.65,-53.33,Supermarket purchase,
TXN0364,12/5/2024,Investments,Stocks ISA,fixed,-300,-300,Monthly investment contribution,
TXN0371,12/5/2024,Groceries,Online Grocery,variable,-53.75,-53.33,Online Grocery purchase,
TXN0391,12/6/2024,Shopping,Electronics,variable,-47.33,-66.67,Electronics purchase,
TXN0375,12/11/2024,Transport,Train,variable,-52.23,-30,Train purchase,
TXN0392,12/12/2024,Shopping,Clothes,variable,-20.61,-66.67,Amazon purchase,
TXN0374,12/14/2024,Transport,Bus Pass,variable,-35.32,-30,Train purchase,
TXN0379,12/14/2024,Dining Out,Takeaway,variable,-16.15,-33.33,Coffee Shop purchase,
TXN0382,12/14/2024,Dining Out,Takeaway,variable,-27.2,-33.33,Coffee Shop purchase,
TXN0366,12/15/2024,Utilities,Electricity,variable,-170.38,-60,Internet purchase,
TXN0367,12/15/2024,Utilities,Electricity,variable,-184.33,-60,Electricity purchase,
TXN0361,12/16/2024,Income,Freelance,income,563.04,0,Freelance project payment,
TXN0365,12/16/2024,Utilities,Internet,variable,-164.83,-60,Electricity purchase,
TXN0368,12/16/2024,Groceries,Online Grocery,variable,-82.36,-53.33,Supermarket purchase,
TXN0369,12/16/2024,Groceries,Online Grocery,variable,-75.62,-53.33,Supermarket purchase,
TXN0385,12/17/2024,Entertainment,Gaming,variable,-17.45,-33.33,Cinema purchase,
TXN0381,12/18/2024,Dining Out,Takeaway,variable,-36.15,-33.33,Restaurant purchase,
TXN0372,12/20/2024,Groceries,Online Grocery,variable,-66.53,-53.33,Online Grocery purchase,
TXN0384,12/20/2024,Dining Out,Restaurant,variable,-25.44,-33.33,Takeaway purchase,
TXN0377,12/22/2024,Transport,Bus Pass,variable,-26.47,-30,Train purchase,
TXN0389,12/22/2024,Health,Gym,variable,-43.92,-40,Doctor Visit purchase,
TXN0390,12/22/2024,Shopping,Electronics,variable,-102.95,-66.67,Clothes purchase,
TXN0376,12/24/2024,Transport,Train,variable,-19.28,-30,Uber purchase,
TXN0387,12/25/2024,Entertainment,Cinema,variable,-19.75,-33.33,Gaming purchase,
TXN0380,12/26/2024,Dining Out,Restaurant,variable,-17.59,-33.33,Takeaway purchase,
TXN0360,12/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0383,12/28/2024,Dining Out,Restaurant,variable,-51.38,-33.33,Coffee Shop purchase,
TXN0386,12/28/2024,Entertainment,Concert,variable,-13.79,-33.33,Netflix purchase,
TXN0388,12/28/2024,Health,Doctor Visit,variable,-40.24,-40,Doctor Visit purchase,
